#GCH	IBD	ICH	IX	IY	IZ	Dir
190	11	14	5	-7	2	1
191	11	15	7	-7	2	1
192	12	0	-7	7	3	1
193	12	1	-5	7	3	1
194	12	2	-3	7	3	1
195	12	3	-1	7	3	1
196	12	4	-7	5	3	1
197	12	5	-5	5	3	1
198	12	6	-3	5	3	1
199	12	7	-1	5	3	1
200	12	8	-7	3	3	1
201	12	9	-5	3	3	1
202	12	10	-3	3	3	1
203	12	11	-1	3	3	1
204	12	12	-7	1	3	1
205	12	13	-5	1	3	1
206	12	14	-3	1	3	1
207	12	15	-1	1	3	1
208	13	0	7	7	3	0
209	13	1	5	7	3	0
210	13	2	3	7	3	0
211	13	3	1	7	3	0
212	13	4	7	5	3	0
213	13	5	5	5	3	0
214	13	6	3	5	3	0
215	13	7	1	5	3	0
216	13	8	7	3	3	0
217	13	9	5	3	3	0
218	13	10	3	3	3	0
219	13	11	1	3	3	0
220	13	12	7	1	3	0
221	13	13	5	1	3	0
222	13	14	3	1	3	0
223	13	15	1	1	3	0
224	14	0	-1	-1	3	0
225	14	1	-3	-1	3	0
226	14	2	-5	-1	3	0
227	14	3	-7	-1	3	0
228	14	4	-1	-3	3	0
229	14	5	-3	-3	3	0
230	14	6	-5	-3	3	0
231	14	7	-7	-3	3	0
232	14	8	-1	-5	3	0
233	14	9	-3	-5	3	0
234	14	10	-5	-5	3	0
235	14	11	-7	-5	3	0
236	14	12	-1	-7	3	0
237	14	13	-3	-7	3	0
238	14	14	-5	-7	3	0
239	14	15	-7	-7	3	0
240	15	0	1	-1	3	1
241	15	1	3	-1	3	1
242	15	2	5	-1	3	1
243	15	3	7	-1	3	1
244	15	4	1	-3	3	1
245	15	5	3	-3	3	1
246	15	6	5	-3	3	1
247	15	7	7	-3	3	1
248	15	8	1	-5	3	1
249	15	9	3	-5	3	1
250	15	10	5	-5	3	1
251	15	11	7	-5	3	1
252	15	12	1	-7	3	1
253	15	13	3	-7	3	1
254	15	14	5	-7	3	1
255	15	15	7	-7	3	1
						
						
